year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,OCTOBER,2007-10-21,14,25.7367134094238,104152.781054466,Unknown/Unidentified
2007,MAGIC,2007-10-22,14,2824.87719726562,11431872.510092098,Unknown/Unidentified
2007,RANCH,2007-10-20,2,58410.3359375,236378245.16902003,Equipment Use
2007,EMMA,2007-09-11,14,172.214950561523,696929.1697532879,Unknown/Unidentified
2007,CORRAL,2007-11-24,14,4707.9970703125,19052588.5082272,Unknown/Unidentified
2007,GORMAN,2007-05-19,14,2373.84497070312,9606609.35199816,Unknown/Unidentified
2007,WEST,2007-07-07,14,245.233963012695,992426.6388722779,Unknown/Unidentified
2007,PEARBLOSSOM,2007-08-13,14,81.0335006713867,327930.93357830803,Unknown/Unidentified
2007,SKYLINE,2007-08-21,14,95.4185562133789,386145.195977632,Unknown/Unidentified
2007,SESNON,2007-10-21,14,30.3014183044434,122625.490133596,Unknown/Unidentified
2007,SOLEDAD,2007-10-22,14,44.16777038574221,178740.62069935398,Unknown/Unidentified
2007,Y,2007-10-23,14,22.4917297363281,91020.7999436423,Unknown/Unidentified
2007,ANGEL 3,2007-09-15,4,832.1265258789059,3367496.61342472,Campfire
2007,BANNER,2007-07-01,14,95.1512603759766,385063.47890628205,Unknown/Unidentified
2007,CHAMBERS,2007-07-27,7,54.6963577270508,221348.302921848,Arson
2007,BROWN,2007-07-08,2,18.7317733764648,75804.7998026628,Equipment Use
2007,DRIFTWOOD,2007-10-25,14,52.9729537963867,214373.935629802,Unknown/Unidentified
2007,CAPPEL,2007-09-05,14,12.894145965576199,52180.757491473,Unknown/Unidentified
2007,MOUNTAIN,2007-07-19,14,840.5582885742191,3401618.78078835,Unknown/Unidentified
2007,WHITE,2007-06-24,2,12432.16015625,50311168.4686577,Equipment Use
2007,WOFFORD,2007-05-09,9,567.456604003906,2296415.40117854,Miscellaneous
2007,PEARBLOSSOM,2007-04-12,14,77.8027725219727,314856.650064661,Unknown/Unidentified
2007,ISLAND,2007-05-10,14,4722.9658203125,19113165.5467755,Unknown/Unidentified
2007,CANYON,2007-07-07,14,743.4799194335941,3008756.59234069,Unknown/Unidentified
2007,FAIRMONT,2007-09-01,14,211.62194824218798,856403.615350964,Unknown/Unidentified
2007,AUBERRY,2007-08-28,10,150.93606567382798,610816.557678597,Vehicle
2007,GATOS,2007-09-02,1,83.0522003173828,336100.32657106104,Lightning
2007,CORONADO HILLS,2007-10-22,14,58.7947463989258,237933.90123615102,Unknown/Unidentified
2007,MEADOW RIDGE,2007-10-23,14,39.108467102050795,158266.356219012,Unknown/Unidentified
2007,HIGHWAY 41/ RD 209 3,2007-05-20,14,329.080932617188,1331743.23131215,Unknown/Unidentified
2007,BORDER #34,2007-09-12,14,109.224609375,442016.323651099,Unknown/Unidentified
2007,78 #4,2007-07-09,10,99.9742202758789,404581.30120511603,Vehicle
2007,BORDER #25,2007-07-06,4,136.20993041992202,551222.055071849,Campfire
2007,VUELTA,2007-06-16,14,214.81335449218798,869318.83221431,Unknown/Unidentified
2007,WILLOW,2007-07-06,1,73.3600082397461,296877.42484190396,Lightning
2007,LOOKOUT,2007-10-02,5,64.51181030273439,261070.04914340898,Debris
2007,PINE,2007-06-23,5,481.780029296875,1949694.61955041,Debris
2007,ISLAND,2007-06-01,1,517.562927246094,2094502.87930345,Lightning
2007,HWY 128,2007-08-14,14,508.35110473632795,2057223.92948423,Unknown/Unidentified
2007,PEAK,2007-07-11,2,46.321990966796896,187458.452504713,Equipment Use
2007,MOUNTAIN,2007-06-24,14,49.278236389160206,199421.942833482,Unknown/Unidentified
2007,SPRUCE,2007-07-15,11,129.011093139648,522089.37648986396,Power Line
2007,BRAYE,2007-05-18,14,636.530212402344,2575946.26060572,Unknown/Unidentified
2007,ROBINSON,2007-07-28,7,121.548217773438,491888.19633603,Arson
2007,WEST,2007-07-22,10,36.99460983276371,149711.866976831,Vehicle
2007,GRIFFITH PARK,2007-05-08,3,747.8983764648441,3026637.43768651,Smoking
2007,BARHAM,2007-03-30,8,224.32763671875,907821.7176893271,Playing with Fire
2007,SMALL HIGHWAY,2007-06-08,10,0.132265999913216,535.261487792686,Vehicle
2007,RABBIT HILL,2007-10-21,14,16.8409633636475,68152.9643601658,Unknown/Unidentified
2007,ROADSIDE,2007-04-30,9,0.32058396935463,1297.35735401187,Miscellaneous
2007,DEER RIDGE,2007-04-01,9,0.30896154046058694,1250.3230019857199,Miscellaneous
2007,TRIUNFO,2007-05-09,9,0.308980941772461,1250.4015254519802,Miscellaneous
2007,241 (HAYSTACK),2007-05-26,10,0.23822018504142803,964.0428841746199,Vehicle
2007,PIONEER,2007-05-26,8,0.33881804347038297,1371.14802915154,Playing with Fire
2007,FREEMONT/IRVINE LAKE,2007-06-22,16,9.4887638092041,38399.6652506373,Aircraft
2007,ANTONIO,2007-06-25,11,0.8795358538627621,3559.35526581748,Power Line
2007,FREEWAY INCIDENT,2007-09-18,8,2.45462560653687,9933.517480722041,Playing with Fire
2007,CROWN VALLEY,2007-07-13,8,22.8726654052734,92562.39318972289,Playing with Fire
2007,261 INCIDENT,2007-07-27,10,89.76793670654301,363277.96358119795,Vehicle
2007,ROCA,2007-10-21,11,270.026519775391,1092758.51851818,Power Line
2007,CEMETERY,2007-08-20,8,501.578674316406,2029816.89828421,Playing with Fire
2007,MARIPOSA,2007-09-03,11,188.25462341308602,761839.417985837,Power Line
2007,SEDGWICK,2007-10-21,11,808.829223632812,3273215.65356712,Power Line
2007,GRIFFITH PARK,2007-08-14,14,4.96196937561035,20080.3771908111,Unknown/Unidentified
2007,AGOURA,2007-06-21,9,0.8084014058113101,3271.48452751932,Miscellaneous
2007,KANAN,2007-07-03,2,0.51394385099411,2079.85701074183,Equipment Use
2007,FLORES,2007-08-05,10,0.09350428730249401,378.39843946609903,Vehicle
2007,AGOURA 2,2007-10-07,7,2.01441216468811,8152.03711221463,Arson
2007,VIRGENES,2007-11-03,9,0.016780473291873998,67.9081649878868,Miscellaneous
2007,RIVER,2007-04-28,14,158.041610717773,639571.677491727,Unknown/Unidentified
2007,ROSA,2007-10-22,14,409.63455200195295,1657732.27884382,Unknown/Unidentified
2007,LAGUNA CANYON,2007-03-08,3,2.84257340431213,11503.4867634445,Smoking
2007,241 INCIDENT,2007-03-11,7,1618.07922363281,6548134.43680477,Arson
2007,,2007-01-07,8,14.803358078002901,59907.065201895995,Playing with Fire
2007,ROSE,2007-04-12,11,8.33595561981201,33734.4151009108,Power Line
2007,BAYNE,2007-07-01,7,125.960571289062,509744.36102914205,Arson
2007,PLACERVILLE,2007-06-18,14,0.9817881584167479,3973.15581271791,Unknown/Unidentified
2007,AMMO,2007-10-23,14,21493.908203125,86982761.4227948,Unknown/Unidentified
2007,RED STAR,2007-01-07,14,208.714447021484,844637.3925106621,Unknown/Unidentified
2007,BACK,2007-07-06,1,28.2099418640137,114161.587220468,Lightning
2007,CHINA,2007-07-10,1,2939.36328125,11895181.0896809,Lightning
2007,SKY,2007-07-10,1,21.53662109375,87155.61170505879,Lightning
2007,BUTLER,2007-09-01,1,87.5025787353516,354110.35848055,Lightning
2007,DOGWOOD,2007-08-29,1,12.925917625427198,52309.331144156604,Lightning
2007,ELLIOT,2007-09-01,1,18.190486907959002,73614.2865039093,Lightning
